"Anzeigename des Nutzers","Zeitstempel","Altersklasse","Beziehst du aktuell das Jugendticket BW / Würdest du das Jugendticket BW beziehen wenn du berechtigt wärst?","Begründung/Sonstige Tickets?","Beziehst du aktuell das Deutschlandticket (49 € Ticket)?","Begründung","Würdest du ein vollsolidarisches Deutschlandticket unterstützen?","Begründung","Wie stark würde dich das vollsolidarische bundesweite Semesterticket finanziell treffen? (Skala 1 (kein/kleines Problem) - 10 (nicht finanzierbar))","Sonstige Anmerkungen"
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 16:41:38 GMT+0:00","≤ 26","Ja","","Nein","ich beziehe ein anderes","Nein","nicht jeder kann es sich leisten und nicht jeder benötigt es muss es dann trotz finanzieller Probleme tragen ","10","Ich finde es schwierig ein ticket zu bringen, das jeder zahlen muss aber vielleicht nicht zahlen kann. Wodurch es dann auch noch ungenutzt bleibt und das Geld was man irgendwie zusammen bekommt um die hohen kosten zu tragen dann nicht mal einem selbst zugute kommen, es wäre mehr als das doppelte wie jetzt an Studiengebühren. Und zu teuer für Leute die es nicht nutzen."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 16:39:18 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 16:05:53 GMT+0:00","≤ 26","Nein","ja ich würde das schon beziehen. und das macht ja dann kein unterschied","Nein","auslandssemster","Nein","macht ja mal überhaupt kein sinn wenn dann der sememsterbeitrag steigt hä","5","ja wegen den 30 euro wirst nicht arm, aber wie gesagt es macht halt keinen sinn"
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 15:56:09 GMT+0:00","> 26","Nein","Habe das 49€ Ticket","Ja","Gilt auch in meinem Heimat Ort","Ja","Es hilft sehr und entlastet","1","Es wäre eine Super Idee, es solidarisch zu gestallten für Leute in den Städten.
Leider hört die Solidarität dann auf, wenn Leute zuhause auf dem Land wohnen und nicht via Bus oder Bahn zur uni kommen können, dass wäre für diese Leute sehr unfair."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 15:49:51 GMT+0:00","≤ 26","Nein","Ich fahre Auto","Nein","Ich fahre Auto","Unentschlossen","","4",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 15:33:01 GMT+0:00","≤ 26","Ja","","Nein","JugendticketBW günstigere Alternative","Ja","Reduzierter Preis, weniger organsiatorischer Aufwand für mich (Ticket separat bezahlen zu müssen)","5",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 15:32:02 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Persönlich kein Preisunterschied, aber dann sehr hoher Semesterbeitrag","5",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 15:11:37 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 14:59:44 GMT+0:00","≤ 26","Ja","","Nein","Weil es schon inbegriffen ist im Jugend wb Ticket ist. Und ich damit Deutschland weit fahren kann. ","Ja","Weil es nicht teuerer für mich ist unterm Strich und ich denke dass es gut ist wenn mehr Leute die Möglichkeit und vielleicht auch den Anreiz haben es zu nutzen.es ","2",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 14:56:17 GMT+0:00","≤ 26","Ja","Ich pendele","Nein","Habe das jugendticket","Nein","es sollte den leuten überlassen sein, das ticket zu beziehen. ich zahle das ticket in monatsraten, das alles auf einmal zu zahlen wäre auch etwas zu viel für mich. Für den Preis-Unterschied von etwa 12€ lohnt es sich meiner Meinung nach nicht. ","4",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 14:48:50 GMT+0:00","≤ 26","Ja","Das Jugendticket BW ist eine hervorragende Lösung zu einem guten und fairen Preis.","Nein","Das Jugendticket BW ist jetzt ein Deutschlandticket","Nein","Ich könnte mir die Semestergebühren nicht mehr leisten und müsste deswegen mein Studium abbrechen. (Das würde ich gerne vermeiden)","10","Der erhöhte Semesterbeitrag wäre eine enorme Zumutung für Studenten die es überhaupt nicht benötigen. Für finanziell Schwache wäre die Erhöhung der Semesterbeiträge ein wahrscheinlicher Grund, das Studium abzubrechen, da die finanzielle Belastung zu hoch ist."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 14:43:20 GMT+0:00","> 26","Nein","","Nein","","Nein","","4",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 14:31:40 GMT+0:00","≤ 26","Ja","","Ja","Ich fahre viel Zug unf ÖPNV, pendele zum Teil. Es lohnt sich preislich definitiv.","Ja","Es ist ein Versuch, mehr Nachhaltigkeit möglich zu machen.","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 14:20:31 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","4",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 13:41:09 GMT+0:00","> 26","Nein","","Ja","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 13:14:12 GMT+0:00","≤ 26","Nein","","Nein","","Nein","Die Semesterbeiträge sind dadurch zu hoch, meiner Meinung nach.","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 12:59:22 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 12:44:13 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 12:43:01 GMT+0:00","≤ 26","Nein",";rauche das Ticket nicht, habe es durch meine BahnCard 100 schon","Ja","Indirekt halt","Nein","Mehrkosten für alle, die es schon haben/nicht brauchen","9",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 12:29:32 GMT+0:00","≤ 26","Nein","","Nein"," Ich erreiche die HdM in 5 min zu Fuß, deshalb benötige ich das Ticket nicht","Nein","So wie es formuliert ist nicht. Sollte es die Option geben, das Angebot nicht in Anspruch zu nehmen, gerne.","8","Vielen würde dieses Angebot sicher helfen, keine Frage, dennoch gibt es auch einige (einschließlich mir), die die HdM ohne die Öffis erreichen können und nicht auf so ein Ticket angewiesen sind. Für mich persönlich sind das Zusatzkosten, die ich ebenfalls aus eigener Tasche stämmen muss. Für Interessierte gibt es natürlich auch immer noch die Option, das Deutschlandticket für 365€ zu holen. Im Vergleich schenkt sich das ja nicht viel. "
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 12:15:04 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","4",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 12:15:00 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 12:14:46 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 12:14:39 GMT+0:00","≤ 26","Ja","Es ist die günstigste Variante.","Nein","","Ja","Damit alle Studenten ein günstiges Ticket bekommen.","2",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 11:48:45 GMT+0:00","≤ 26","Ja","","Ja","","Ja","","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 11:44:48 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Das Geld wird halt mal wieder bloß umgelagert. Es gibt nicht sowas wie kostenlos in unserer Gesellschaft. Die Kosten werden immer verschoben. Das ist die größte Frechheit, wenn jetzt der Studienbeitrag wieder erhöht wird. ","2","Ich hoffe, dass ihr jetzt gelernt hat, dass man niemals mit „kostenloser ÖPNV“ werben sollte. Einfach mal bisschen um die Ecke denken. Gilt auch für die Petitionsstarter. Aber die sind eh alle von der Linken. Da war es klar dass so ein Schwachsinn gefordert wird."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 11:40:10 GMT+0:00","> 26","Ja","Ausbildungs Ticket 27 (da ich über 27 Jahre alt bin)","Nein","Noch ein Ticket on top wäre zu teuer","Ja","","2","ich finde es immernoch teuer und keine richtige Entlastung (da Studenten nunmal i.d.R. kein Einkommen haben!), aber ich brauche ein Ticket, um die Uni zu erreichen. Außerdem sehe ich in dem vollsolidar-Modell auch einen Anreiz, dass Studis die Öffentlichen mehr nutzen (da sie dann ja eh schon ein Ticket haben)."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 11:25:07 GMT+0:00","> 26","Nein","","Ja","","Nein","Es macht doch keinen Sinn ein solches Angebot einzuführen was ticketbeziehenden 30€ spart und dann knappe 170€ obendrauf rechnet? Ganz zu schweigen von den anderen studierenden.....","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 11:16:56 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 10:52:47 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Es profitieren nur Ü26 studierende. Das Jugendticket bw kann auch nach 6 Monaten gekündigt werden. Siehe dazu: https://www.bahn.de/faq/jugendticket-bw-kuendigung studierende die 1 oder 2 semester ins ausland gehen, würden sehr viel unnötiges geld für das deutschlandticket zahlen, weil sie das JugendTicket kündigen können aber den semesterbeitrag nicht.","5",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 10:47:03 GMT+0:00","≤ 26","Ja","","Nein","JugendBW","Nein","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 10:45:40 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","9",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 10:29:37 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","7",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 10:29:32 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Die erhöhen Kosten sind ein größeres Belastung als die Vorteile die man erhält, ohne dass man einbezieht, wer diese Ticket nutzt und wer nicht","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 10:25:16 GMT+0:00","> 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 10:06:11 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 09:54:57 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 09:51:36 GMT+0:00","≤ 26","Ja","","Nein","Mir reicht das Ticket für BW. Außerdem gilt das Jugend Ticket BW seit Dezember als Deutschlandticket.","Nein","Ich werde im Sommersemester 27 Jahre alt sein. Hochgerechnet ist es günstiger, den Semesterbeitrag von 171 € zu zahlen und das reguläre D-Ticket zu kaufen.","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 09:40:59 GMT+0:00","≤ 26","Nein","Nutzung des JobTickets BW als Deutschlandticket","Ja","Weil ich es durch den Zuschuss bei der Arbeit für weniger Geld als das JugendTicket BW bekomme","Unentschlossen","","7",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 09:26:46 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 09:23:12 GMT+0:00","≤ 26","Nein","","Ja","","Nein","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 09:08:24 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 09:02:03 GMT+0:00","> 26","Ja","","Ja","Es ist derzeit die für mich günstigste Variante. Ich wohne in einem anderen Landkreis und alle anderen Tickets/Abos wären noch teurer.","Ja","","1","Studierende über 26 haben einerseits häufiger eine Berufsausbildung und Ersparnisse als jüngere Studienanfänger. Andererseits erhalten sie seltener Bafög/sonstige Förderungen. Schwierig also..."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 08:59:42 GMT+0:00","> 26","Ja","","Ja","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 08:57:34 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 08:52:20 GMT+0:00","> 26","Nein","Fahre mit dem Auto","Nein","Fahre mit dem Auto","Unentschlossen","Weiß ich nicht ","7","Wenn ich mir eins holen würde, wäre es schon teuer für mich "
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 08:38:45 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Verpflichtung ist immer unschön. Jeder sollte entscheiden können, ob er das Ticket beziehen möchte. ","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 08:23:18 GMT+0:00","≤ 26","Nein","Ich wohne aktuell in Reutlingen, für mich lohnt es sich nicht mit dem Bus an den Bahnhof zu fahren und dann mit dem Zug nach Stuttgart HBF und dann erneut mit dem Bus etc. nach Vaihingen zu kommen. ","Nein","","Nein","Leider ist es ein erheblicher Aufpreis den ich pro Semester zahlen müsste. Ich habe leider auch sehr wenig Verwendung für das Ticket. ","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 08:16:48 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 07:59:16 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 07:43:25 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","5",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 07:36:10 GMT+0:00","≤ 26","Ja","","Nein","Habe ein Auto und keine Zeit so viel rumzufahren","Nein","","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 06:56:31 GMT+0:00","≤ 26","Ja","Finde ein Jahr Kündigungsfrist jedoch eine Frechheit. Wieso nicht ein Semester?","Nein","Zu teuer.","Ja","Super Ticket, auch für ältere Studierende. Keine Kündigungsfrist. Ich kenne niemanden der kein Verkehrsticket hat.","2",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 06:42:45 GMT+0:00","> 26","Nein","Brauchte wegen auslandsemester gerade nur ein halbes Jahr ein Ticket, das ging mit dem ne Ticket nicht ","Ja","Flexibler als das jugenticket, da ich es nicht für ein Jahr mindestens nehmen muss","Ja","Kenne ich von anderen Unis in Niedersachsen/hessen mit den ländertickets und hab mich eh schon gewundert warum dieses ticketmodelm in Stuttgart noch nicht angekommen ist","7",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 06:11:48 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","5",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 05:45:54 GMT+0:00","≤ 26","Nein","Aktuell im Auslandssemester aber würde es zukünftig beziehen ","Nein","Zu teuer und nutze den öpnv größtenteils nur in der Region Stuttgart ","Nein","30€ im Monat zu viel, vorallem halbjährlich aufeinander 340€ sind schwer machbar für Studierende","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 02:46:50 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Extremer Anstieg des Semesterbeitrags schlichtweg unverhältnismäßig ","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 01:40:55 GMT+0:00","≤ 26","Ja","","Nein","Hab ja das jungendticket welches jetzt auch deutschlandweit gilt ","Nein","Semesterbeitrag zu teuer, so wie es jetzt ist ist man besser dran ","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 00:39:44 GMT+0:00","> 26","Ja","","Ja","Bin ü26","Ja","","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 00:32:25 GMT+0:00","> 26","Ja","","Nein","Das Jungend BW ticket gilt ja für ganz Deutschland","Ja","Ich kaufe nur das Ticket sowieso, also würde ich mir ja Geld sparen:)","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 00:14:28 GMT+0:00","≤ 26","Nein","","Ja","Als Jobticket","Nein","Der Großteil der Studierenden ist unter 26 und kann sich das Jugendticket kaufen. Der Preisvorteil ist für diese Gruppe völlig vernachlässigbar. Allerdings würde vor allem diese Altergruppe die höheren Kosten sehr sehr stark treffen! Studierende über 26 haben i.d.R. irgendwelche Vor-Ausbildungen und Jobs neben dem Studium, bei denen sie aufgrund der Ausbildung/Erfahrung mehr verdienen. In meinen Augen ist es daher unverhältnismäßig, die große Gruppe, welche ohnehin durchschnittlich „ärmer“ ist, stärker zu belasten!","5",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 00:14:06 GMT+0:00","≤ 26","Ja","Da ich in Reutlingen wohne und mit den Öffis nicht nur zur Uni fahre, sondern auch sonst so mobil bin","Ja","Da ich in letzter Zeit öfter zu meinen Eltern in NRW gependelt bin und ich die Strecke mit dem DE-Ticket günstiger bekomme","Ja","Da es für mich auf jeden Fall von Vorteil wäre, in ganz Deutschland mobil sein zu können und ich auch noch studieren werde, wenn ich über 27 bin.","6",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 23:54:32 GMT+0:00","≤ 26","Ja","günstigste Option im Moment","Nein","","Nein","Zu hoher Semesterbeitrag für Leute die das Ticket nicht brauchen ","1","Für mich wäre das Semsterticket 1€ günstiger, allerdings weiß ich nicht ob es fair währe das auf alle umzulegen. Was ist wenn man im Auslands oder Praxissemester ist. Man muss ja trotzdem Studiengebühren zahlen oder? "
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 23:41:02 GMT+0:00","≤ 26","Nein","Auto","Nein","Auto","Nein","Doppelte Kosten mit Fahrtkosten und Ticket das ich nicht nutzen würde","5","das wäre doppelt sie viel Geld obwohl ich das Ticket nicht nutze. Das steht auf keinen Fall im Verhältnis. Würde es sich um ein paar Euro handeln ok aber so nicht! "
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 23:21:21 GMT+0:00","≤ 26","Ja","","Ja","","Ja","","1",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 23:14:09 GMT+0:00","≤ 26","Nein","","Ja","Ich bekomme das Deutschlandticket von meiner Arbeit","Nein"," Ich finde das unfair den Leuten gegenüber, die kein Ticket - aus welchen Gründen auch immer - benötigen. Ich bekomme bspw. durch meine Arbeit als Werkstudentin ab März erstmalig das Deutschlandticket kostenlos, dafür musste ich für Bahnfahren immer viel Geld zahlen. Ich sehe es nicht ein, über 300€ zu zahlen, wenn der Semesterbeitrag ohne Ticket bei 170€ liegt. Wenn ich es richtig verstanden habe, kostet das Ticket normalerweise ca.31€ monatlich und vollsolidarisch ca. 29€, d.h. 2/3€ mehr pro Monat. Das sollten sich meiner Meinung nach die meisten studierenden leisten können. Allerdings glaube ich, dass ein Semesterbeitrag mit vollsolidarischem Ticket viele Studierende, so auch mich, an ihre finanziellen Grenzen bringen würde.","9",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 23:08:28 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","3",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 22:35:49 GMT+0:00","≤ 26","Ja","Ist die einzige sinnvolle Ticket Alternative ","Nein","Fahre nicht quer durch Deutschland und brauche es nicht","Nein","Ich würde es nicht brauchen und der Semesterbeitrag soll mich steigen!!","9",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 22:10:03 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","2",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 22:05:59 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Ich brauche es nicht","8",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 22:02:23 GMT+0:00","≤ 26","Nein","Ich wohne so nah an der Uni, deshalb habe ich kein Ticket und benötige auch keines","Nein","Nein, da ich nicht oft in die Heimat mit dem ÖPNV fahren muss","Unentschlossen","","8","Ich finde es sehr schwierig den Semesterbeitrag so weit zu erhöhen, nur damit alle eine Möglichkeit auf ein Semesterticket haben, die es vielleicht auch gar nicht brauchen oder beanspruchen. Ein Aufschwung von 171,50 € auf 347,90 € ist nicht nur eine sehr große Summe an Geld, sondern nimmt einem auch die Entscheidung. Hinzu kommt, dass der Semesterbeitrag auf einmal gezahlt werden muss, das ist nicht nur finanzieller Stress, sondern auch für manche in den aktuellen Zeiten, wo eh alles teurer wird einfach nicht machbar. "
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 21:54:17 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 21:47:06 GMT+0:00","≤ 26","Ja","","Ja","zu alt für jugendticket und studiticket gestrichen","Nein","finde es sollte jeder selbst entscheiden ob er/ Sie es kaufen möchte und für einige könnte das viel geld mehr sein. ","5","Ich fände die 18 uhr und Wochenendoption auf dem Studiausweis super, wenn die zurück kommt!"
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 21:45:49 GMT+0:00","≤ 26","Nein","Hatte das vorher, ist jetzt ja aber ab dem 1.12 umgewechselt","Ja","","Ja","","1",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 21:27:38 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","1",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 21:25:30 GMT+0:00","≤ 26","Nein","","Ja","","Nein","","9",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 21:22:28 GMT+0:00","≤ 26","Ja","Ich komme aus Schorndorf und benutze außerhalb von der Uni das Ticket noch am Wochenende um zu meinem Freund nach Stuttgart zu kommen ","Nein","Habe ja das Jugend Ticket schon ","Unentschlossen","Ich weiß nicht was vollsolidarisch heißt ","4",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 21:00:25 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Ich finde es nicht gut dass Studis zum Abschluss des Tickets gezwungen werden und dafür zahlen müssen, selbst wenn sie zb direkt nebenan wohnen und es nicht brauchen. Ich werde zwar selbst bald 27 und müsste somit das teurere Ticket kaufen, bin aber trotzdem gegen einen automatischen Abschluss für alle Studis.","6","Ich fände eine Wahl super, bei der man sich beim Zahlen des Semesterbeitrags entscheiden kann, ob man ein Ticket dazu möchte oder nicht und man diese Entscheidung somit selbst in der Hand hätte."
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:57:16 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","6",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:45:16 GMT+0:00","> 26","Ja","ich wohne weiter weg und fahr öfters mal heim, da lohnt sich das ticket und momentan mache ich mein praktikum in Ludwigsburg und muss täglich sBahn fahren. ","Nein","ich hab das jugendticket bw","Unentschlossen","was ist mit vollsolidarisch gemeint? Also billig öffis fahren ist immer cool","",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:39:10 GMT+0:00","≤ 26","Ja","","Nein","das Jugend Ticket BW ist günstiger","Ja","Unsicherheit über Preis des Jugend Ticket BW, Planungssicherheit ist derzeit höher bei integriertem Semesterticket","3",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:29:30 GMT+0:00","≤ 26","Nein","Auto, da Erreichen der HdM mit der Bahn viel zu umständlich ","Nein","","Nein","Meinen Sprit und KfZ-Versicherung muss ich auch selber bezahlen. ","4",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:19:51 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:18:25 GMT+0:00","≤ 26","Nein","Es ist total unsicher, da dass BaWü Jugendticket ein Jahresticket ist","Ja","Das 49 Euro ticket ist monatlich kündbar.","Nein","Ich möchte die Freiheit haben, monatlich zu kündigen oder einen größeren preislicheren Vorteil haben.","7",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:15:17 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:13:52 GMT+0:00","> 26","Ja","","Nein","Bin aktuell noch im Auslandsemester","Ja","Faire Lösung, da die meisten HdM Studis ein Semesterticket beziehen, aus eigener Sicht vorteilhaft weil ü26","2",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:13:09 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:09:51 GMT+0:00","> 26","Ja","","Nein","","Nein","","5",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 20:01:21 GMT+0:00","≤ 26","Nein","Ich lebe für mein Praxissemester aktuell in Berlin, weshalb das BW Ticket aktuell nicht in Frage kommt ","Ja","","Nein","Ich selbst bin auf die Öffis angewiesen und würde das Ticket grundsätzlich befürworten. Allerdings halte ich es für falsch, das Ticket für alle Studierenden einzuführen, da nicht jeder Studi die Öffis nutzt. Für sie wäre es also eine zusätzliche finanzielle Belastung, die für viele nicht tragbar ist :) ","5",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:50:09 GMT+0:00","> 26","Nein","","Nein","","Nein","Warum sollten Personen, die das Ticket nicht benötigen trotzdem dafür zahlen. Macht keinen Sinn. ","10",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:42:54 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","4",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:38:54 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","8",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:22:58 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:22:29 GMT+0:00","> 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:20:13 GMT+0:00","≤ 26","Nein","Die Bahnen fallen ständig aus. ","Nein","Brauche ich nicht. ","Nein","Ich finde es unfair, wenn manche Studierende das gar nicht brauchen und trotzdem zahlen müssen. Das Geld ist schon so knapp für Studierende.","5",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:16:29 GMT+0:00","≤ 26","Ja","","Ja","","Nein","Teuer","10",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:09:45 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:07:31 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","2",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 19:03:04 GMT+0:00","≤ 26","Nein","","Ja","Für mich macht das monatliche Abomodell mehr Sinn als ein ganzes Semester, da ich nur alle paar Monate weiter mit den Öfis verreise ","Unentschlossen","Prinzipiell ja, aber ich kann die Steigung des Semesterbeitrages nicht stemmen. Der Preis ist fast doppelt so hoch und ich nütze die Öfis so, dass ich möglichst wenig Kosten habe. Das kann ich mit einem erhöhten Semesterbeitrag nicht mehr beeinflussen und ich persönlich würde mehr zahlen als wenn ich so reise.","8","Ich bin absolut für die Semestertickets und bezahlbare öffentliche Verkehrsmittel. Aber ich glaube die meisten Studenten, mich eingeschlossen, zählen eher zu der Kategorie, die finanzielle Unterstützung von volkssolidarischen Zahhlungen benötigt, nicht ebendiese mit Stemmen können."
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 18:50:22 GMT+0:00","> 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 18:49:54 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Donnerstag, 21. Dezember 2023 um 18:47:51 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","3",""
